caliber,club,date,height,league,meta,person,place,position,positon,source,throws,type,weight
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/1,,player,
,Newark,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/1,,player,
semi-pro,Akron,1915,,,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/1,,player,
,Newark,1915,,Buckeye,,_subject,,CF,,morris/1915Buckeye/AkronBeaconJournal/2,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/3,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/3,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/4,,player,
,Newark,1915,,Buckeye,,_subject,,SS,,morris/1915Buckeye/AkronBeaconJournal/5,,player,
,Youngstown Steelmen,1915,,unknown,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/5,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/6,,player,
semi-pro,Crestline,1914,,Trolley,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/6,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/7,,player,
,,,,Ohio & Pennsylvania,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/7,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/8,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/9,,player,
,Traverse City,1914,,Michigan State,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/9,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/10,,player,
Semi pro,Toledo,1915,,,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/10,,player,
,Akron,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/AkronEveningTimes/1,,player,
,Akron,1915,,Buckeye,,_subject,,RF,,morris/1915Buckeye/AkronEveningTimes/2,,player,
,,,,Ohio State,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/2,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/3,,player,
Semi pro,,1914,,,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/3,,player,
