city,country,day,month,person,source,state,year
Mobile,US,5.0,8.0,Aaron_Tommie_Lee,mcconnell/McConnell,AL,1933.0
Duncan,CA,4.0,8.0,Abbott_Morrison_Harold,mcconnell/McConnell,BC,1913.0
Oakland,US,14.0,5.0,Abreu_Joseph_Lawrence,mcconnell/McConnell,CA,1913.0
Mobile,US,10.0,2.0,Adair_Marion_Danne,mcconnell/McConnell,AL,1911.0
Zerbe,US,26.0,8.0,Adams_Earl_John,mcconnell/McConnell,PA,1894.0
Trinidad,US,24.0,6.0,Adams_Elvin_Clark,mcconnell/McConnell,CO,1915.0
Tuolumne,US,14.0,12.0,Adams_Robert_Henry,mcconnell/McConnell,CA,1921.0
Mount Olive,US,13.0,9.0,Aderholt_Morris_Woodrow,mcconnell/McConnell,NC,1915.0
,,,,Adlam_James_A,mcconnell/McConnell,,
Magnolia,US,9.0,8.0,Agee_Tommie_Lee,mcconnell/McConnell,AL,1942.0
Lynn,US,20.0,4.0,Agganis_Harry,mcconnell/McConnell,MA,1929.0
Villa Azueta,MX,21.0,3.0,Aguilar_Enrique,mcconnell/McConnell,Veracruz,1956.0
,RU,4.0,2.0,Ainsmith_Edward_Wilbur,mcconnell/McConnell,,1890.0
Santiago de Cuba,CU,3.0,8.0,Ala_Aurelio,mcconnell/McConnell,,1930.0
St. Louis,US,19.0,2.0,Aleno_Charles,mcconnell/McConnell,MO,1917.0
Greenville,US,26.0,4.0,Alexander_David_Dale,mcconnell/McConnell,TN,1903.0
Cambridge,US,26.0,10.0,Allington_William_Baird,mcconnell/McConnell,MA,1903.0
Huatabampo,MX,7.0,2.0,Almada_Baldomero_Melo,mcconnell/McConnell,Sonora,1913.0
El Fuerte,MX,7.0,9.0,Almada_Louis_Joseph,mcconnell/McConnell,Sinaloa,1907.0
St. Louis,US,6.0,5.0,Alotta_Phillip,mcconnell/McConnell,MO,1925.0
Goldsboro,US,20.0,3.0,Altman_George_Lee,mcconnell/McConnell,NC,1933.0
St. Joseph,US,29.0,1.0,Altman_Joseph,mcconnell/McConnell,MO,1883.0
Jasper,US,2.0,2.0,Alvis_Roy_Maxwell,mcconnell/McConnell,TX,1938.0
Tacoma,US,4.0,1.0,Ananias_Nicholas_Thomas,mcconnell/McConnell,WA,1928.0
Dover,US,5.0,4.0,Anderson_Andrew_Albert,mcconnell/McConnell,NJ,1896.0
,,,,Anderson_Cyrus,mcconnell/McConnell,,
North East,US,10.0,9.0,Anderson_Harry_Walter,mcconnell/McConnell,MD,1931.0
Donnellson,US,4.0,4.0,Anderson_John_Donald,mcconnell/McConnell,IA,1894.0
Sarpsborg,NO,14.0,12.0,Anderson_John_Joseph,mcconnell/McConnell,,1873.0
Eau Claire,US,20.0,8.0,Anderson_John_Maurice,mcconnell/McConnell,WI,1898.0
Trion,US,3.0,11.0,Anderson_Starling_W,mcconnell/McConnell,GA,1896.0
Baltimore,US,2.0,10.0,Angley_Thomas_Samuel,mcconnell/McConnell,MD,1904.0
Saginaw,US,9.0,3.0,Ankoviak_William_E,mcconnell/McConnell,MI,1924.0
Brookyln,US,19.0,5.0,Antonello_William_James,mcconnell/McConnell,NY,1927.0
Oakland,US,31.0,3.0,Arlett_Alexander_Benjamin,mcconnell/McConnell,CA,1890.0
Kincaid,US,17.0,4.0,Arlitt_Adolph,mcconnell/McConnell,IL,1912.0
Superior,US,16.0,11.0,Arnovich_Morris,mcconnell/McConnell,WI,1910.0
,,,,Askland_Frank,mcconnell/McConnell,,
Los Angeles,US,30.0,3.0,Atkins_Ralph,mcconnell/McConnell,CA,1925.0
Oakland,US,26.0,12.0,Attyd_Leonard_Francis,mcconnell/McConnell,CA,1926.0
Washington,US,1.0,7.0,Atz_John_Jacob,mcconnell/McConnell,DC,1879.0
Swansea,GB,8.0,12.0,Austin_James_Philip,mcconnell/McConnell,,1879.0
Veracruz,MX,2.0,4.0,Avila_Roberto_Francisco,mcconnell/McConnell,,1924.0
Pisgah,US,11.0,1.0,Babe_Loren_Rolland,mcconnell/McConnell,IA,1928.0
Orillia,US,1.0,12.0,Badgro_Morris_Hiram,mcconnell/McConnell,WA,1902.0
Strawberry Plains,US,15.0,4.0,Bailey_Lonas_Edgar,mcconnell/McConnell,TN,1931.0
Long Beach,US,13.0,10.0,Bailey_Robert_Sherwood,mcconnell/McConnell,CA,1942.0
Riverside,US,15.0,6.0,Baker_Johnnie_B,mcconnell/McConnell,CA,1949.0
Toronto,CA,24.0,11.0,Balaz_John_Lawrence,mcconnell/McConnell,ON,1950.0
San Pedro,US,1.0,8.0,Balcena_Robert_Rudolph,mcconnell/McConnell,CA,1925.0
Pacolet Mills,US,24.0,9.0,Banks_George_Edward,mcconnell/McConnell,SC,1938.0
Groveland,US,9.0,6.0,Bannon_George,mcconnell/McConnell,MA,1879.0
Amesbury,US,20.0,12.0,Bannon_William,mcconnell/McConnell,MA,1875.0
