caliber,club,date,height,league,meta,person,place,position,source,throws,type,weight,first,given,last,matrilineal,nick,suffix
,Eau Claire,1958,,Northern League,,data/VGHQPQR,,OF-SS,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Eau Claire,1959,,Northern League,,data/VGHQPQR,,2B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Louisville,1960,,American Association,,data/VGHQPQR,,PH,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Cedar Rapids,1960,,Illinois-Indiana-Iowa League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Jacksonville,1960,,South Atlantic League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Austin,1961,,Texas League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Milwaukee,1962,,National League,,data/VGHQPQR,,1B-OF-2B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Milwaukee,1963,,National League,,data/VGHQPQR,,1B-OF-2B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Denver,1963,,Pacific Coast League,,data/VGHQPQR,,2B-1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Denver,1964,,Pacific Coast League,,data/VGHQPQR,,1B-2B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1965,,International League,,data/VGHQPQR,,2B-1B-OF-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Milwaukee,1965,,National League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1966,,International League,,data/VGHQPQR,,1B-OF-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1967,,International League,,data/VGHQPQR,,OF-1B-2B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1968,,National League,,data/VGHQPQR,,OF-1B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1969,,National League,,data/VGHQPQR,,1B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1970,,National League,,data/VGHQPQR,,1B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1971,,International League,,data/VGHQPQR,,3B-1B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1971,,National League,,data/VGHQPQR,,1B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1972,,International League,,data/VGHQPQR,,1B-3B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Savannah,1973,,Southern League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Waycross,1949,,Georgia-Florida League,,data/MSCBGGH,,OF,data/nemec/Nemec,,playing,,Ben,Bernard E.,Abadie,,,
,Thibodaux,1950,,Evangeline League,,data/MSCBGGH,,OF,data/nemec/Nemec,,playing,,Ben,Bernard E.,Abadie,,,
,Thibodaux,1951,,Evangeline League,,data/MSCBGGH,,OF,data/nemec/Nemec,,playing,,Ben,Bernard E.,Abadie,,,
