bats,height,person,source,thorws,throws,weight
,,_subject,data/morris/1915Buckeye/AkronBeaconJournal/6,,Left,
,,_subject,data/morris/1915Buckeye/AkronBeaconJournal/7,,Left,
,,_subject,data/morris/1915Buckeye/AkronBeaconJournal/8,,Left,
,,_subject,data/morris/1915Buckeye/AkronEveningTimes/7,Left,,
,,_subject,data/morris/1915Buckeye/CantonEveningRepository/17,,Left,
,,_subject,data/morris/1915Buckeye/CantonEveningRepository/18,,Left,
,,_subject,data/morris/1915Buckeye/CantonEveningRepository/28,,Left,
Right,,_subject,data/morris/1915Buckeye/CantonEveningRepository/30,,,
Left,,_subject,data/morris/1915Buckeye/CantonEveningRepository/31,,,
Left,,_subject,data/morris/1915Buckeye/CantonEveningRepository/32,,,
Left,,_subject,data/morris/1915Buckeye/CantonEveningRepository/33,,,
,,_subject,data/morris/1915Buckeye/CantonEveningRepository/52,,Left,
,,_subject,data/morris/1915Buckeye/CantonEveningRepository/54,,Left,
,,_subject,data/morris/1915Buckeye/CoshoctonMorningTribune/1,,Right,
,,_subject,data/morris/1915Buckeye/LimaNews/8,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/10,,Right,
,,_subject,data/morris/1915Buckeye/LimaNews/29,,Right,
,,_subject,data/morris/1915Buckeye/LimaNews/30,,Right,
,,_subject,data/morris/1915Buckeye/LimaNews/31,,Right,
,,_subject,data/morris/1915Buckeye/LimaNews/36,,Right,
,,_subject,data/morris/1915Buckeye/LimaNews/46,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/49,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/54,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/62,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/64,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/69,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/72,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/80,,Left,
,,_subject,data/morris/1915Buckeye/LimaNews/85,,Left,
Left,,_subject,data/morris/1915Buckeye/MarionStar/3,,,
