first,given,last,matrilineal,nick,person,source,suffix
Red,,Baird,,,_subject,morris/1915Buckeye/AkronBeaconJournal/1,
,,Miller,,,_subject,morris/1915Buckeye/AkronBeaconJournal/2,
,,Myers,,,_subject,morris/1915Buckeye/AkronBeaconJournal/3,
,,Franken,,,_subject,morris/1915Buckeye/AkronBeaconJournal/4,
,,Price,,,_subject,morris/1915Buckeye/AkronBeaconJournal/5,
Paul,,McKee,,,_subject,morris/1915Buckeye/AkronBeaconJournal/6,
Fred,,Wilhelm,,Lefty,_subject,morris/1915Buckeye/AkronBeaconJournal/7,
,,Barnhart,,,_subject,morris/1915Buckeye/AkronBeaconJournal/8,
,,Costello,,,_subject,morris/1915Buckeye/AkronBeaconJournal/9,
,,Maguire,,,_subject,morris/1915Buckeye/AkronBeaconJournal/10,
,,Fickel,,,_subject,morris/1915Buckeye/AkronEveningTimes/1,
,,Plummer,,,_subject,morris/1915Buckeye/AkronEveningTimes/2,
,,Holler,,,_subject,morris/1915Buckeye/AkronEveningTimes/3,
Dug,,Clark,,,_subject,morris/1915Buckeye/AkronEveningTimes/4,
Bernie,,Byatt,,,_subject,morris/1915Buckeye/AkronEveningTimes/5,
George,,Linne,,,_subject,morris/1915Buckeye/AkronEveningTimes/6,
Elmer,,Hawk [Hook],,,_subject,morris/1915Buckeye/AkronEveningTimes/7,
,,Glennon,,,_subject,morris/1915Buckeye/AkronEveningTimes/8,
Gabby,,Fields,,,_subject,morris/1915Buckeye/AkronEveningTimes/9,
Dick,,Talbott,,,_subject,morris/1915Buckeye/AkronEveningTimes/10,
,,Hook,,,_subject,morris/1915Buckeye/AkronEveningTimes/11,
William,,Prout,,,_subject,morris/1915Buckeye/CantonEveningRepository/1,
Mully,,Miller,,,_subject,morris/1915Buckeye/CantonEveningRepository/2,
Billy,,Prout,,,_subject,morris/1915Buckeye/CantonEveningRepository/3,
,,Barnhart,,,_subject,morris/1915Buckeye/CantonEveningRepository/4,
Howard,,Armstrong,,,_subject,morris/1915Buckeye/CantonEveningRepository/5,
Earl,,McLaughlin,,,_subject,morris/1915Buckeye/CantonEveningRepository/6,
L. C.,,Kull,,,_subject,morris/1915Buckeye/CantonEveningRepository/7,
Harry,,Walters,,,_subject,morris/1915Buckeye/CantonEveningRepository/8,
Heinie,,Belinski,,,_subject,morris/1915Buckeye/CantonEveningRepository/9,
Lloyd,,Ramey,,,_subject,morris/1915Buckeye/CantonEveningRepository/10,
,,Carle,,,_subject,morris/1915Buckeye/CantonEveningRepository/11,
Heinie,,Belinski,,,_subject,morris/1915Buckeye/CantonEveningRepository/12,
,,Barnhart,,,_subject,morris/1915Buckeye/CantonEveningRepository/13,
,,Kirby,,,_subject,morris/1915Buckeye/CantonEveningRepository/14,
Ernie,,Lush,,,_subject,morris/1915Buckeye/CantonEveningRepository/15,
Frank,,Nesser,,,_subject,morris/1915Buckeye/CantonEveningRepository/16,
,,McGee,,,_subject,morris/1915Buckeye/CantonEveningRepository/17,
,,Hawk,,,_subject,morris/1915Buckeye/CantonEveningRepository/18,
,,Barnhart,,,_subject,morris/1915Buckeye/CantonEveningRepository/19,
Oscar,,Day,,,_subject,morris/1915Buckeye/CantonEveningRepository/20,
Vic,,Johnson,,,_subject,morris/1915Buckeye/CantonEveningRepository/21,
Vic,,Johnson,,,_subject,morris/1915Buckeye/CantonEveningRepository/22,
Al,,Lawson,,,_subject,morris/1915Buckeye/CantonEveningRepository/23,
,,Myers,,,_subject,morris/1915Buckeye/CantonEveningRepository/24,
,,Allison,,,_subject,morris/1915Buckeye/CantonEveningRepository/25,
Harve,,Pastorius,,,_subject,morris/1915Buckeye/CantonEveningRepository/26,
,,Linne,,,_subject,morris/1915Buckeye/CantonEveningRepository/27,
,,Samuels,,,_subject,morris/1915Buckeye/CantonEveningRepository/28,
Pete,,Schisler,,,_subject,morris/1915Buckeye/CantonEveningRepository/29,
,,Thoma,,,_subject,morris/1915Buckeye/CantonEveningRepository/30,
,,Bonnin,,,_subject,morris/1915Buckeye/CantonEveningRepository/31,
,,Neer,,,_subject,morris/1915Buckeye/CantonEveningRepository/32,
,,Price,,,_subject,morris/1915Buckeye/CantonEveningRepository/33,
Al,,Leak,,,_subject,morris/1915Buckeye/CantonEveningRepository/34,
Sandy,,Murray,,,_subject,morris/1915Buckeye/CantonEveningRepository/35,
Dick,,Malloy,,,_subject,morris/1915Buckeye/CantonEveningRepository/36,
Al,,Schweizter,,,_subject,morris/1915Buckeye/CantonEveningRepository/37,
Fred,,Wilhelm,,Lefty,_subject,morris/1915Buckeye/CantonEveningRepository/38,
Luther,,Bonnin,,,_subject,morris/1915Buckeye/CantonEveningRepository/39,
Buzz,,Wetzel,,,_subject,morris/1915Buckeye/CantonEveningRepository/40,
Ed,,Cattcott,,,_subject,morris/1915Buckeye/CantonEveningRepository/41,
Harry,,Spahr,,,_subject,morris/1915Buckeye/CantonEveningRepository/42,
Henry,,Bellinski,,,_subject,morris/1915Buckeye/CantonEveningRepository/43,
Frank,,Long,,,_subject,morris/1915Buckeye/CantonEveningRepository/44,
Harley,,Humphreys,,,_subject,morris/1915Buckeye/CantonEveningRepository/45,
Bunny,,Pierce,,,_subject,morris/1915Buckeye/CantonEveningRepository/46,
,,Malloy,,,_subject,morris/1915Buckeye/CantonEveningRepository/47,
,,Lamb,,,_subject,morris/1915Buckeye/CantonEveningRepository/48,
Erve,,Wratten,,,_subject,morris/1915Buckeye/CantonEveningRepository/49,
Tad,,Drake,,,_subject,morris/1915Buckeye/CantonEveningRepository/50,
Brickhouse,,Blanchard,,,_subject,morris/1915Buckeye/CantonEveningRepository/51,
,,Connors,,,_subject,morris/1915Buckeye/CantonEveningRepository/52,
Dad,,Clark,,,_subject,morris/1915Buckeye/CantonEveningRepository/53,
,,McKee,,,_subject,morris/1915Buckeye/CantonEveningRepository/54,
,,Barnhart,,,_subject,morris/1915Buckeye/CantonEveningRepository/55,
,,Bostick,,,_subject,morris/1915Buckeye/CantonEveningRepository/56,
,,Price,,,_subject,morris/1915Buckeye/CantonEveningRepository/57,
Buck,,Patton,,,_subject,morris/1915Buckeye/CantonEveningRepository/58,
Edward,,Beeney,,,_subject,morris/1915Buckeye/ChillicotheGazette/1,
Harry,,Blanchard,,,_subject,morris/1915Buckeye/ChillicotheGazette/2,
Henry,,Blanchard,,,_subject,morris/1915Buckeye/ChillicotheGazette/3,
Henry,,Blanchard,,,_subject,morris/1915Buckeye/ChillicotheGazette/4,
Joe,,Lamb,,,_subject,morris/1915Buckeye/ChillicotheGazette/5,
,,Yockey,,,_subject,morris/1915Buckeye/CincinnatiEnquirer/1,
,,Costello,,,_subject,morris/1915Buckeye/CincinnatiEnquirer/2,
,,Warner,,,_subject,morris/1915Buckeye/CincinnatiEnquirer/3,
Ernest,,Hook,,,_subject,morris/1915Buckeye/CoshoctonMorningTribune/1,
Cliff,,Yockey,,,_subject,morris/1915Buckeye/HamiltonEveningJournal/1,
Frank,,Moore,,,_subject,morris/1915Buckeye/LancasterEagleGazette/1,
Sandy,,Murray,,,_subject,morris/1915Buckeye/LimaNews/1,
Burley,,Peterman,,,_subject,morris/1915Buckeye/LimaNews/2,
,,Drum,,,_subject,morris/1915Buckeye/LimaNews/3,
Howard,,Malloy,,,_subject,morris/1915Buckeye/LimaNews/4,
Al,,Newnham,,,_subject,morris/1915Buckeye/LimaNews/5,
,,Dunkle,,,_subject,morris/1915Buckeye/LimaNews/6,
,,Wolle,,,_subject,morris/1915Buckeye/LimaNews/7,
Emmett,,Hennessy,,,_subject,morris/1915Buckeye/LimaNews/8,
