date,height,meta,person,place,source,throws,weight
1915,,,_subject,"US, PA, Kane",data/morris/1915Buckeye/AkronBeaconJournal/2,,
1915,,,_subject,"US, OH, Youngstown",data/morris/1915Buckeye/AkronBeaconJournal/5,,
1915,,,_subject,"US, OH, Toledo",data/morris/1915Buckeye/AkronBeaconJournal/10,,
1915,,,_subject,"US, OH, St. Marys",data/morris/1915Buckeye/AkronEveningTimes/1,,
1915,,,_subject,"US, PA, Pittsburgh",data/morris/1915Buckeye/AkronEveningTimes/3,,
1915,,,_subject,"US, PA, Philadelphia",data/morris/1915Buckeye/AkronEveningTimes/4,,
1915,,,_subject,"US, OH, Cuyahoga Falls",data/morris/1915Buckeye/AkronEveningTimes/7,,
1915,,,_subject,"US, OH, Akron",data/morris/1915Buckeye/AkronEveningTimes/8,,
1915,,,_subject,"US, OH, Cleveland",data/morris/1915Buckeye/AkronEveningTimes/9,,
1915,,,_subject,"US, IL, Streator",data/morris/1915Buckeye/AkronEveningTimes/10,,
1915,,,_subject,"US, KY, Newport",data/morris/1915Buckeye/CantonEveningRepository/1,,
1915,,,_subject,"US, OH, Massillon",data/morris/1915Buckeye/CantonEveningRepository/2,,
1915,,,_subject,"US, KY, Newport",data/morris/1915Buckeye/CantonEveningRepository/3,,
1915,,,_subject,"US, OH, Massillon",data/morris/1915Buckeye/CantonEveningRepository/6,,
1915,,,_subject,"US, OH, Cleveland",data/morris/1915Buckeye/CantonEveningRepository/8,,
1915,,,_subject,"US, OH, Uniontown",data/morris/1915Buckeye/CantonEveningRepository/11,,
1915,,,_subject,"US, OH, Canton",data/morris/1915Buckeye/CantonEveningRepository/12,,
1915,,,_subject,"US, OH,",data/morris/1915Buckeye/CantonEveningRepository/13,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915Buckeye/CantonEveningRepository/14,,
1915,,,_subject,"US, OH, Cleveland",data/morris/1915Buckeye/CantonEveningRepository/15,,
1915,,,_subject,"US, OH, Yellow Springs",data/morris/1915Buckeye/CantonEveningRepository/20,,
1915,,,_subject,"US, OH, Canton",data/morris/1915Buckeye/CantonEveningRepository/21,,
1915,,,_subject,"US, OH, Cleveland",data/morris/1915Buckeye/CantonEveningRepository/22,,
1915,,,_subject,"US, NY, Buffalo",data/morris/1915Buckeye/CantonEveningRepository/24,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915Buckeye/CantonEveningRepository/27,,
1915,,,_subject,"US, OH, Cleveland",data/morris/1915Buckeye/CantonEveningRepository/28,,
1915,,,_subject,"US, OH, New Philadelphia",data/morris/1915Buckeye/CantonEveningRepository/42,,
1915,,,_subject,"US, OH, Canton",data/morris/1915Buckeye/CantonEveningRepository/43,,
1915,,,_subject,"US, OH, New Straitsville",data/morris/1915Buckeye/CantonEveningRepository/47,,
1915,,,_subject,"US, OH,",data/morris/1915Buckeye/CantonEveningRepository/48,,
1915,,,_subject,"US, OH, McConnellsville",data/morris/1915Buckeye/CantonEveningRepository/50,,
1915,,,_subject,"US, OH, Denison",data/morris/1915Buckeye/CantonEveningRepository/55,,
1915,,,_subject,"US, OH, Newark",data/morris/1915Buckeye/ChillicotheGazette/1,,
1915,,,_subject,"US, VA, Bristol",data/morris/1915Buckeye/ChillicotheGazette/2,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915Buckeye/CincinnatiEnquirer/1,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915Buckeye/CincinnatiEnquirer/2,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915Buckeye/CincinnatiEnquirer/3,,
1913,,,_subject,"US, OH, Cincinnati",data/morris/1915Buckeye/HamiltonEveningJournal/1,,
1915,,,_subject,"US, OH, Basil",data/morris/1915Buckeye/LancasterEagleGazette/1,,
1915,,,_subject,"US, OH, Findlay",data/morris/1915Buckeye/LimaNews/2,,
1915,,,_subject,"US, OH, Ada",data/morris/1915Buckeye/LimaNews/3,,
1915,,,_subject,"US, OH, Ada",data/morris/1915Buckeye/LimaNews/4,,
1915,,,_subject,"US, OH, Amsterdam",data/morris/1915Buckeye/LimaNews/9,,
1915,,,_subject,"US, IL, Chicago",data/morris/1915Buckeye/LimaNews/11,,
1915,,,_subject,"US, PA, Allentown",data/morris/1915Buckeye/LimaNews/14,,
1915,,,_subject,"US, IL, Chicago",data/morris/1915Buckeye/LimaNews/18,,
1915,,,_subject,"US, OH, Mt. Vernon",data/morris/1915Buckeye/LimaNews/19,,
1915,,,_subject,"US, MI, Saginaw",data/morris/1915Buckeye/LimaNews/20,,
1915,,,_subject,"US, OH, New Straitville",data/morris/1915Buckeye/LimaNews/21,,
1915,,,_subject,"US, OH, Columbus",data/morris/1915Buckeye/LimaNews/22,,
1915,,,_subject,"US, OH, Columbus",data/morris/1915Buckeye/LimaNews/23,,
1915,,,_subject,"US, OH, Millersport",data/morris/1915Buckeye/LimaNews/25,,
1915,,,_subject,"US, IL, Chicago",data/morris/1915Buckeye/LimaNews/26,,
1915,,,_subject,"US, IL, Chicago",data/morris/1915Buckeye/LimaNews/27,,
1915,,,_subject,"US, MI, Saginaw",data/morris/1915Buckeye/LimaNews/32,,
